date, pm25, pm10, o3, no2, so2, co
2018/12/12, 10, 8, 8, 6, , 
2018/12/13, 27, 3, 10, 4, , 
2018/12/14, 12, 6, 12, 6, , 
2018/12/15, 24, 6, 12, 3, , 
2018/12/16, 21, 5, 13, 4, , 
2018/12/17, 12, 5, 12, 5, , 
2018/12/18, 15, 7, 11, 7, , 
2018/12/19, 21, 8, 9, 5, , 
2018/12/20, 23, 6, 13, 3, , 
2018/12/21, 11, 5, 5, 4, , 
2018/12/22, 23, 4, 12, 3, , 
2018/12/23, 14, 4, 11, 3, , 
2018/12/24, 13, 4, 7, 3, , 
2018/12/25, 14, 4, 5, 2, , 
2018/12/26, 21, 3, 9, 2, , 
2018/12/27, 13, 3, 4, 3, , 
2018/12/28, 17, 3, 7, 3, , 
2018/12/29, 11, 4, 10, 5, , 
2018/12/30, 16, 5, 6, 4, , 
2018/12/31, 18, , , , , 
2018/7/2, 12, 6, 11, 2, , 
2018/7/3, 15, 15, 9, 5, , 
2018/7/4, 25, 14, 8, 7, , 
2018/7/5, 23, 13, 9, 7, , 
2018/7/6, 25, 10, 8, 5, , 
2018/7/7, 23, 6, 9, 2, , 
2018/7/8, 9, 8, 9, 3, , 
2018/7/9, 16, 12, 5, 7, , 
2018/7/10, 19, 8, 7, 4, , 
2018/7/11, 19, 9, 7, 5, , 
2018/7/12, 14, 10, 8, 4, , 
2018/7/13, 17, 10, 10, 3, , 
2018/7/14, 26, 11, 8, 7, , 
2018/7/15, 22, 11, 7, 7, , 
2018/7/16, 27, 19, 7, 7, , 
2018/7/17, 33, 17, 10, 10, , 
2018/7/18, 43, 12, 10, 4, , 
2018/7/19, 32, 9, 11, 4, , 
2018/7/20, 27, 11, 9, 4, , 
2018/7/21, 22, 10, 8, 3, , 
2018/7/22, 12, 10, 7, 5, , 
2018/7/23, 17, 14, 11, 8, , 
2018/7/24, 31, 16, 13, 8, , 
2018/7/25, 35, 17, 12, 9, , 
2018/7/26, 46, 20, 12, 10, , 
2018/7/27, 49, 24, 11, 11, , 
2018/7/28, 57, 19, 12, 10, , 
2018/7/29, 54, 23, 15, 11, , 
2018/7/30, 60, 31, 17, 12, , 
2018/7/31, 75, 15, 15, 5, , 
2018/8/1, 47, 8, 11, 4, , 
2018/8/2, 32, 6, 8, 3, , 
2018/8/3, 14, 9, 7, 5, , 
2018/8/4, 15, 10, 11, 5, , 
2018/8/5, 23, 12, 13, 6, , 
2018/8/6, 28, 14, 14, 7, , 
2018/8/7, 35, 17, 14, 9, , 
2018/8/8, 38, 19, 13, 14, , 
2018/8/9, 50, 20, 11, 10, , 
2018/8/10, 52, 23, 16, 8, , 
2018/8/11, 62, 7, 5, 3, , 
2018/8/12, 11, 9, 4, 4, , 
2018/8/13, 26, 40, 5, 6, , 
2018/8/14, 106, 60, 7, 10, , 
2018/8/15, 155, 49, 4, 12, , 
2018/8/16, 123, 34, 10, 8, , 
2018/8/17, 87, 28, 11, 6, , 
2018/8/18, 69, 15, 7, 7, , 
2018/8/19, 43, 30, 3, 7, , 
2018/8/20, 81, 77, 8, 10, , 
2018/8/21, 175, 64, 18, 15, , 
2018/8/22, 134, 77, 7, 17, 1, 
2018/8/23, 153, 49, 8, 6, , 
2018/8/24, 112, 24, 8, 6, , 
2018/8/25, 62, 24, 6, 6, , 
2018/8/26, 73, 19, 5, 4, , 
2018/8/27, 69, 11, 7, 6, , 
2018/8/28, 38, 9, 2, 6, , 
2018/8/29, 36, , , , , 
2018/8/31, 21, 10, 9, 4, , 
2018/9/1, 14, 12, 10, 4, , 
2018/9/2, 16, 16, 9, 6, , 
2018/9/3, 37, 10, 10, 5, , 
2018/9/4, 24, 16, 7, 7, , 
2018/9/5, 47, 25, 7, 9, , 
2018/9/6, 54, 31, 10, 13, , 
2018/9/7, 68, 12, 8, 5, , 
2018/9/8, 24, 7, 7, 3, , 
2018/9/9, 20, 5, 8, 2, , 
2018/9/10, 11, 7, 4, 5, , 
2018/9/11, 19, , , , , 
2018/9/15, 25, 5, 8, 2, , 
2018/9/16, 11, 5, 11, 2, , 
2018/9/17, 8, 10, 7, 4, , 
2018/9/18, 25, 10, 7, 4, , 
2018/9/19, 23, 12, 7, 6, , 
2018/9/20, 31, 7, 6, 4, , 
2018/9/21, 20, 4, 7, 3, , 
2018/9/22, 8, 6, 7, 5, , 
2018/9/23, 16, 8, 7, 3, , 
2018/9/24, 25, 9, 4, 5, , 
2018/9/25, 20, 12, 4, 4, , 
2018/9/26, 22, 14, 3, 5, , 
